tableName;tableExtends;tableType;columnName;columnType;key;required;refSchema;refTable;refLink;refBack;refLabel;defaultValue;validation;visible;computed;semantics;profiles;label;description
Charts;;;x axis min value;int;;;;;;;;;;;;http://semanticscience.org/resource/SIO_000452,http://semanticscience.org/resource/SIO_001113;;;A value that indicates the minimum threshold to display on the x-axis (applies only to continuous variables)
Charts;;;x axis max value;int;;;;;;;;;;;;http://semanticscience.org/resource/SIO_000452,http://semanticscience.org/resource/SIO_001114;;;A value that indicates the minimum threshold to display on the x-axis (applies only to continuous variables)
Charts;;;x axis ticks;int_array;;;;;;;;;;;;http://semanticscience.org/resource/SIO_000452,http://semanticscience.org/resource/SIO_000915;;;An array of numbers that indicate the breakpoints on the x-axis
Charts;;;y axis label;;;;;;;;;;;;;http://semanticscience.org/resource/SIO_000453,http://semanticscience.org/resource/SIO_000179;;;Text to be displayed along the y-axis (vertical axis)
Charts;;;y axis min value;int;;;;;;;;;;;;http://semanticscience.org/resource/SIO_000453,http://semanticscience.org/resource/SIO_001113;;;A value that indicates the minimum threshold to display on the y-axis (applies only to continuous variables)
Charts;;;y axis max value;int;;;;;;;;;;;;http://semanticscience.org/resource/SIO_000453,http://semanticscience.org/resource/SIO_001114;;;A value that indicates the minimum threshold to display on the y-axis (applies only to continuous variables)
Charts;;;y axis ticks;int_array;;;;;;;;;;;;http://semanticscience.org/resource/SIO_000453,http://semanticscience.org/resource/SIO_000915,http://semanticscience.org/resource/SIO_001316;;;An array of numbers that indicate the breakpoints on the y-axis
Charts;;;top margin;int;;;;;;;;15;"(function () {
  if (topMargin !== null && topMargin < 0) {
  return ""The top margin cannot be less than 0""
  }
  if (topMargin !== null && topMargin > 250) {
  return ""The top margin cannot be more than 250""
  }
})();";;;http://purl.obolibrary.org/obo/NCIT_C69210;;;A number that indicates the amount of white space to add to the top of the chart
Charts;;;right margin;int;;;;;;;;15;"(function () {
  if (rightMargin !== null && rightMargin < 0) {
  return ""The right margin cannot be less than 0""
  }
  if (rightMargin !== null && rightMargin > 250) {
  return ""The right margin cannot be more than 250""
  }
})();";;;http://purl.obolibrary.org/obo/NCIT_C69201;;;A number that indicates the amount of white space to add to the right of the chart
Charts;;;bottom margin;int;;;;;;;;60;"(function () {
  if (bottomMargin !== null && bottomMargin < 0) {
  return ""The bottom margin cannot be less than 0""
  }
  if (bottomMargin !== null && bottomMargin > 250) {
  return ""The bottom margin cannot be more than 250""
  }
})();";;;http://purl.obolibrary.org/obo/NCIT_C69210;;;A number that indicates the amount of white space to add to the bottom of the chart
Charts;;;left margin;int;;;;;;;;80;"(function () {
  if (leftMargin !== null && leftMargin < 0) {
  return ""The left margin cannot be less than 0""
  }
  if (leftMargin !== null && leftMargin > 250) {
  return ""The left margin cannot be more than 250""
  }
})();";;;http://purl.obolibrary.org/obo/NCIT_C69201;;;A number that indicates the amount of white space to add to the left of the chart
Charts;;;legend position;;;;;;;;;top;"(function () {
  const positions = [""top"", ""right"", ""bottom"", ""left""];
  if (legendPosition !== null && !positions.includes(legendPosition)) {
  const positions_str = positions.join("", "");
  const message = ""Legend position "" + legendPosition + "" must be one of the following: "" + positions_str;
  return message;
  }
})();";;;http://semanticscience.org/resource/SIO_000468,http://semanticscience.org/resource/SIO_000056;;;
Charts;;;data points;refback;;;;Chart data;;included in chart;;;;;;http://semanticscience.org/resource/SIO_000546;;;Data that is prepared to be used in a chart
Charts;;;dashboard page;ref;;;;Dashboard pages;;;;;;;;;;;
Dashboard pages;;;name;;1;true;;;;;;;;;;http://schema.org/name;;;
Dashboard pages;;;description;text;;;;;;;;;;;;http://schema.org/description;;;
Dashboard pages;;;charts;refback;;;;Charts;;chart id;;;;;;http://edamontology.org/topic_0092;;;One or more charts displayed on a page
chromosomalVariant;;;genomicRearrangement;heading;;false;;;;;;;;;;;;Simple genomic rearrangement (deletion/insertion/UPD);
chromosomalVariant;;;belongsToSubject;ref;;false;;subject;;;${id};;;;;;;Variant belongs to subject;
chromosomalVariant;;;chromosomalVariantId;;;false;;;;;;;;;"regionBand + ""_"" + copies?.name + ""| "" + structuralAnomaly?.name";;;Cytogenetic description;
chromosomalVariant;;;refGenome;ontology;;false;cranioOntology;GRCH;;;;;;;;;;Reference genome;
chromosomalVariant;;;chromosome;;;false;;;;;;;;;;;;Chromosome;
chromosomalVariant;;;regionBand;;;true;;;;;;;;;;;;Region (in chromosome and band/bands);"you may insert ""21q11.2q11.2  OR  15q11.2  - enter each elementary rearrangement separately"""
chromosomalVariant;;;copies;ontology;;true;cranioOntology;copies;;;${label};;;;;;;Number of copies / UPD;
chromosomalVariant;;;structuralAnomalyHeading;heading;;false;;;;;;;;;;;;Structural anomaly not detected by array;
chromosomalVariant;;;structuralAnomaly;ontology;;false;cranioOntology;structuralAnomaly;;;${label};;;;;;;Structural anomaly;
chromosomalVariant;;;complexChromosomalAnomaly;;;false;;;;;;;;;;;;Full caryotype;Use for complex caryotype when del/dup coding is not informative enough.
chromosomalVariant;;;balanceHeading;heading;;false;;;;;;;;;;;;Balance;
chromosomalVariant;;;balance;ontology;;true;cranioOntology;genomeBalance;;;${label};;;;;;;Genome Balance;
chromosomalVariant;;;mosaic;bool;;false;;;;;;;;;;;;Mosaic?;
chromosomalVariant;;;id;auto_id;1;true;;;;;;;;;${mg_autoid};;;auto-id;
genomicVariant;;;genomicVariantId;;;false;;;;;;;;;"hgnc?.name + "" | "" + hgvs + "" | "" + proteinDescription + "" | "" + allelicState?.name  + "" | "" +  acmg?.name + "" | "" +  inheritance?.name";;;Genomic variant;
genomicVariant;;;belongsToSubject;ref;;false;;subject;;;${id};;;;;;;Variant belongs to subject;
genomicVariant;;;hgnc;ontology;;true;cranioOntology;gene;;;${label};;;;;;;Gene name;
genomicVariant;;;otherGene;;;false;;;;;;;;"hgnc?.name===""Other""";;;;Other gene name;
genomicVariant;;;genomicReferenceSeq;;;false;;;;;;;;;;;;Genomic reference sequence;e.g. NC_000023.10
genomicVariant;;;genomic;;;false;;;;;;;;;;;;Genomic variation;e.g. g.33038255C>A
genomicVariant;;;transcript;;;false;;;;;;;;;;;;Reference sequence;Transcript, e.g. NM_004006.2
genomicVariant;;;hgvs;;;false;;;;;;;;;;;;Nucleotide Change;HGVS notation (Format:c.4375C>T).
genomicVariant;;;proteinDescription;text;;false;;;;;;;;;;;;Protein Change;HGVS notation format(p.Arg1459Ter) or p.?
genomicVariant;;;otherChange;text;;false;;;;;;;;;;;;Other changes;
genomicVariant;;;allelicState;ontology;;false;cranioOntology;allelicState;;;${label};;;;;;;Allelic State;
genomicVariant;;;acmg;ontology;;false;cranioOntology;acmg;;;${label};;;;;;;ACMG classification;
genomicVariant;;;inheritance;ontology;;false;cranioOntology;inheritance;;;${label};;;;;;;Inheritance;
genomicVariant;;;autoId;auto_id;1;true;;;;;;;;;${mg_autoid};;;auto-id;
subject;;;eu1;heading;;false;;;;;;;;;;;;1. Pseudonym;
subject;;;id;;1;true;;;;;;;;;;;;Person ID using SPIDER;Please specify patient's ERN-approved ID (SPIDER)
subject;;;famid;;;false;;;;;;;;;;;;Other ID's;
subject;;;eu2;heading;;false;;;;;;;;;;;;2. Personal information;
subject;;;datebirth;date;;true;;;;;;;;;;;;Date of birth;Date of birth as YYYY-MM-DD
subject;;;sex;ontology;;true;cranioOntology;sex;;;${label};;;;;;;Sex at birth;
subject;;;country;ontology;;true;cranioOntology;countryOfResidence;;;;;;;;;;Country of residence;
subject;;;eu3;heading;;false;;;;;;;;;;;;3. Patient Status;
subject;;;vital;ontology;;false;cranioOntology;vital;;;${label};;;;;;;Patient's status;
subject;;;death;date;;false;;;;;;;;"vital?.name=== ""dead""";;;;Date of death;
subject;;;eu4;heading;;false;;;;;;;;;;;;4. Care pathway;
subject;;;entrydate;date;;false;;;;;;;;;;;;Date of first contact with specialised centre;Date of first contact with the expertise center as YYYY-MM-DD
subject;;;hcp;ref;;false;CranioPublic;organisations;;;${name};;;;;;;Health care provider;Who is the current health care provider?
subject;;;eu5;heading;;false;;;;;;;;;;;;5. Disease history;
subject;;;agetatonset;ontology;;false;cranioOntology;agediagnosis;;;${label};;;;;;;Age at which symptoms appeared;
subject;;;agediagnosis;ontology;;false;cranioOntology;agediagnosis;;;${label};;;;;;;Age at diagnosis;
subject;;;agediagnosisdate;date;;false;;;;;;;;"agediagnosis?.name=== ""postnatal""";;;;Please enter date;
subject;;;eu6;heading;;false;;;;;;;;;;;;6. Diagnosis;
subject;;;diseasegroup;ontology;;true;cranioOntology;diseasegroup;;;${label};;;;;;;ERN workstream;
subject;;;orpha_craniosynostosis;ontology_array;;true;cranioOntology;orpha_cs;;;${label};;;"diseasegroup?.name=== ""craniosynostosis""";;;;Diagnosis;Please specify the diagnosis according to the orphanet classification
subject;;;orpha_cleft;ontology_array;;true;cranioOntology;orpha_cleft;;;${label};;;"diseasegroup?.name=== ""cleftLipPalate""";;;;Diagnosis;Please specify the diagnosis according to the orphanet classification
subject;;;orpha_craniofacial;ontology_array;;true;cranioOntology;orpha_craniofacial;;;${label};;;"diseasegroup?.name=== ""otherCraniofacialAnomalies""";;;;Diagnosis;Please specify the diagnosis according to the orphanet classification
subject;;;orpha_ent;ontology_array;;true;cranioOntology;orpha_ent;;;${label};;;"diseasegroup?.name=== ""entDisorders""";;;;Diagnosis;Please specify the diagnosis according to the orphanet classification
subject;;;orphanet_other;ontology_array;;false;cranioOntology;orphanet;;;${label};;;"orpha_cleft?.some(orpha_cleft=>orpha_cleft.name=== ""other"") ||orpha_craniosynostosis?.some(orpha_cs=>orpha_cs.name === ""other"")|| orpha_ent?.some(orpha_ent=>orpha_ent.name === ""other"")||orpha_craniofacial?.some(orpha_craniofacial=>orpha_craniofacial.name === ""other"")";;;;Diagnosis;Please specify the diagnosis according to the orphanet classification
subject;;;geneticDiagnosisPerformed;ontology;;false;cranioOntology;yesno;;;${label};;;;;;;Were genetic diagnostics performed?;
subject;;;genetic_diagnosis_avail;ontology;;false;cranioOntology;genetic_diagnosis_avail;;;${label};;;;;;;Is a genetic diagnosis available?;
subject;;;genetic_diagnosis;heading;;false;;;;;;;;"genetic_diagnosis_avail?.name===""yes""";;;;6.1 Genetic diagnosis;
subject;;;typeDiagnosis;ontology;;true;cranioOntology;typeDiagnosis;;;${label};;;"genetic_diagnosis_avail?.name===""yes""";;;;Type of Biological diagnosis;
subject;;;genomicAnomaly;refback;;false;;genomicVariant;;belongsToSubject;${genomicVariantId};;;"genetic_diagnosis_avail?.name===""yes"" && (typeDiagnosis?.name===""molecularDiagnosis"" || typeDiagnosis?.name===""both"")";;;;Genomic Variant(s), linked to diagnosis (HGVS);
subject;;;biologicalDiagnoseDatev;date;;false;;;;;;;;"genetic_diagnosis_avail?.name===""yes"" && (typeDiagnosis?.name===""molecularDiagnosis"" || typeDiagnosis?.name===""both"")";;;;Date of Biological diagnosis (Genomic Variants);
subject;;;chromosomalAnomaly;refback;;false;;chromosomalVariant;;belongsToSubject;${chromosomalVariantId};;;"genetic_diagnosis_avail?.name===""yes"" && (typeDiagnosis?.name===""chromosomalDiagnosis"" || typeDiagnosis?.name===""both"")";;;;Chromosomal Variant(s), linked to diagnosis (ISCN);
subject;;;biologicalDiagnoseDatechr;date;;false;;;;;;;;"genetic_diagnosis_avail?.name===""yes"" && (typeDiagnosis?.name===""chromosomalDiagnosis"" || typeDiagnosis?.name===""both"")";;;;Date of Biological diagnosis (Chromosomal Variants);
subject;;;eu7;heading;;false;;;;;;;;;;;;7. Research;
subject;;;researchcontact;bool;;false;;;;;;;;;;;;Agreement to be contacted for research purposes;Was informed consent signed for contacting for research purposes?
subject;;;reuse;bool;;false;;;;;;;;;;;;Consent to the reuse of data;Was informed consent signed for reusing data for research purposes?
subject;;;biosample;bool;;false;;;;;;;;;;;;Biological sample available;
subject;;;consent_biosample;bool;;false;;;;;;;;;;;;Consent to the reuse biological sample available;Was informed consent signed for reusing biological samples for research purposes?
subject;;;biobank;ref;;false;cranioOntology;biobank;;;${name};;;;;;;Link to a biobank?*;
subject;;;visits_synostosis;refback;;false;;visits_synostosis;;belongsToSubject;${label};;;"diseasegroup?.name=== ""craniosynostosis""";;;;Craniosynostosis Workstream;
subject;;;visits_hearingloss;refback;;;;visits_hearingloss;;belongsToSubject;${label};;;"diseasegroup?.name=== ""entDisorders""";;;;ENT Workstream;
subject;;;visits_cleft;refback;;false;;visits_cleft;;belongsToSubject;${label};;;"diseasegroup?.name=== ""cleftLipPalate""";;;;Cleft Workstream;
subject;;;visits_cfm;refback;;;;visits_cfm;;belongsToSubject;;;;"diseasegroup?.name=== ""otherCraniofacialAnomalies""";;;;;
visits_cfm;;;internalID;auto_id;1;true;;;;;;;;;${mg_autoid};;;auto-id;(when created by upload, can have own structure like ?dateUpload_SpiderID_visitType?)
visits_cfm;;;belongsToSubject;ref;;false;;subject;;;${id};;;;;;;PatientID;
visits_cleft;;;label;;;false;;;;;;;;;"typevisitcleft?.name+"" _""+typecleft?.name";;;VisitLabel;
visits_cleft;;;belongsToSubject;ref;;false;;subject;;;${id};;;;;;;PatientID;
visits_cleft;;;typevisitcleft;ontology;;true;cranioOntology;typevisitcleft;;;${label};"=(function () {
  let result = simplePostClient(
    `query Visits_cleft( $filter: Visits_cleftFilter, $orderby: Visits_cleftorderby ) { Visits_cleft( filter:$filter, limit:100, offset:0, orderby:$orderby ) { typevisitcleft {order, name, label} mg_insertedOn }}`,
    {
      filter: {
        belongsToSubject: { equals: [{ id: belongsToSubject.id }] },
      },
      orderby: { mg_insertedOn: ""DESC"" },
    }
  );
  let lookUp = {
    visitOne: ""visitTwo"",
    visitTwo: ""visitThree"",
    visitThree: ""visitFour"",
    visitFour: ""visitFive "",
    visitFive: ""visitSix "",
    visitSix: ""visitSeven"",
    visitSeven: ""visitSeven"",
  };

  let nextFollowup = result?. Visits_cleft.find(
    (item) => lookUp[item. typevisitcleft.name] !== undefined
  );

  return {
    name: lookUp[nextFollowup.typevisitcleft.name],
  };
})()";;;;;;Please select the type of visit;
visits_cleft;;;date;date;;true;;;;;;=new Date().toISOString();;;;;;date;
visits_cleft;;;typecleft;ontology;;true;cranioOntology;typecleft;;;${label};"=(function () {
  let result = simplePostClient(
    `query Visits_cleft( $filter: Visits_cleftFilter, $orderby: Visits_cleftorderby ) { Visits_cleft( filter:$filter, limit:20, offset:0, orderby:$orderby ) { typecleft {name, label} mg_insertedOn }}`,
    {
      filter: {
        belongsToSubject: { equals: [{ id: belongsToSubject.id }] },
      },
      orderby: { mg_insertedOn: ""ASC"" },
    }
  );
  return {
    name: result?. Visits_cleft[0]?. typecleft?.name,
  };
})()";;;;;;Please specify the type of cleft;
visits_cleft;;;cleftLipPalateType;ontology;;;cranioOntology;typeCleftLipPalate;;;;;;"typecleft?.name=== ""cleftLipPalate""";;;;Please specify the type of cleft lip and palate;
visits_cleft;;;CLEFTQ;heading;;false;;;;;;;;typevisitcleft?.name=== 'visitFour' || typevisitcleft?.name=== 'visitFive' || typevisitcleft?.name=== 'visitSeven';;;;CLEFT-Q;
visits_cleft;;;CLEFTQSPEAK;heading;;false;;;;;;;;"(typevisitcleft?.name===""visitFive"" &&(typecleft?.name===  ""cleftPalate"" || typecleft?.name===  ""cleftLipPalate"")) || (typevisitcleft?.name=== ""visitSeven"" && (typecleft?.name===  ""cleftPalate"" || typecleft?.name===  ""cleftLipPalate""))";;;;CLEFT-Q Speech Distress;
visits_cleft;;;CLEFTQSPEAK_Q;heading;;false;;;;;;;;"(typevisitcleft?.name===""visitFive"" &&(typecleft?.name===  ""cleftPalate"" || typecleft?.name===  ""cleftLipPalate"")) || (typevisitcleft?.name=== ""visitSeven"" && (typecleft?.name===  ""cleftPalate"" || typecleft?.name===  ""cleftLipPalate""))";;;;HOW DO YOU FEEL ABOUT SPEAKING? Answer each question by circling one number. Please answer thinking of the PAST WEEK.;
visits_cleft;;;CLEFTQSPEAK_Q01;ontology;;false;cranioOntology;cleftq_answer;;;${label};;;"(typevisitcleft?.name===""visitFive"" &&(typecleft?.name===  ""cleftPalate"" || typecleft?.name===  ""cleftLipPalate"")) || (typevisitcleft?.name=== ""visitSeven"" && (typecleft?.name===  ""cleftPalate"" || typecleft?.name===  ""cleftLipPalate""))";;;;1: I avoid going out because of my speech (like to a party).;
visits_cleft;;;CLEFTQSPEAK_Q02;ontology;;false;cranioOntology;cleftq_answer;;;${label};;;"(typevisitcleft?.name===""visitFive"" &&(typecleft?.name===  ""cleftPalate"" || typecleft?.name===  ""cleftLipPalate"")) || (typevisitcleft?.name=== ""visitSeven"" && (typecleft?.name===  ""cleftPalate"" || typecleft?.name===  ""cleftLipPalate""))";;;;2: My speech makes it hard for me to make new friends.;
visits_cleft;;;CLEFTQSPEAK_Q03;ontology;;false;cranioOntology;cleftq_answer;;;${label};;;"(typevisitcleft?.name===""visitFive"" &&(typecleft?.name===  ""cleftPalate"" || typecleft?.name===  ""cleftLipPalate"")) || (typevisitcleft?.name=== ""visitSeven"" && (typecleft?.name===  ""cleftPalate"" || typecleft?.name===  ""cleftLipPalate""))";;;;3: I get teased about my speech.;
visits_cleft;;;CLEFTQSPEAK_Q04;ontology;;false;cranioOntology;cleftq_answer;;;${label};;;"(typevisitcleft?.name===""visitFive"" &&(typecleft?.name===  ""cleftPalate"" || typecleft?.name===  ""cleftLipPalate"")) || (typevisitcleft?.name=== ""visitSeven"" && (typecleft?.name===  ""cleftPalate"" || typecleft?.name===  ""cleftLipPalate""))";;;;4: I get frustrated when I speak.;
visits_cleft;;;CLEFTQSPEAK_Q05;ontology;;false;cranioOntology;cleftq_answer;;;${label};;;"(typevisitcleft?.name===""visitFive"" &&(typecleft?.name===  ""cleftPalate"" || typecleft?.name===  ""cleftLipPalate"")) || (typevisitcleft?.name=== ""visitSeven"" && (typecleft?.name===  ""cleftPalate"" || typecleft?.name===  ""cleftLipPalate""))";;;;5: I feel embarrassed when I speak.;
visits_cleft;;;CLEFTQSPEAK_Q06;ontology;;false;cranioOntology;cleftq_answer;;;${label};;;"(typevisitcleft?.name===""visitFive"" &&(typecleft?.name===  ""cleftPalate"" || typecleft?.name===  ""cleftLipPalate"")) || (typevisitcleft?.name=== ""visitSeven"" && (typecleft?.name===  ""cleftPalate"" || typecleft?.name===  ""cleftLipPalate""))";;;;6: I try to avoid speaking in front of people.;
visits_cleft;;;CLEFTQSPEAK_Q07;ontology;;false;cranioOntology;cleftq_answer;;;${label};;;"(typevisitcleft?.name===""visitFive"" &&(typecleft?.name===  ""cleftPalate"" || typecleft?.name===  ""cleftLipPalate"")) || (typevisitcleft?.name=== ""visitSeven"" && (typecleft?.name===  ""cleftPalate"" || typecleft?.name===  ""cleftLipPalate""))";;;;7: I feel nervous when I speak.;
visits_cleft;;;CLEFTQSPEAK_Q08;ontology;;false;cranioOntology;cleftq_answer;;;${label};;;"(typevisitcleft?.name===""visitFive"" &&(typecleft?.name===  ""cleftPalate"" || typecleft?.name===  ""cleftLipPalate"")) || (typevisitcleft?.name=== ""visitSeven"" && (typecleft?.name===  ""cleftPalate"" || typecleft?.name===  ""cleftLipPalate""))";;;;8: I worry that my speech is hard to understand.;
visits_cleft;;;CLEFTQSPEAK_Q09;ontology;;false;cranioOntology;cleftq_answer;;;${label};;;"(typevisitcleft?.name===""visitFive"" &&(typecleft?.name===  ""cleftPalate"" || typecleft?.name===  ""cleftLipPalate"")) || (typevisitcleft?.name=== ""visitSeven"" && (typecleft?.name===  ""cleftPalate"" || typecleft?.name===  ""cleftLipPalate""))";;;;9: I get upset when I need to repeat myself.;
visits_cleft;;;CLEFTQSPEAK_Q10;ontology;;false;cranioOntology;cleftq_answer;;;${label};;;"(typevisitcleft?.name===""visitFive"" &&(typecleft?.name===  ""cleftPalate"" || typecleft?.name===  ""cleftLipPalate"")) || (typevisitcleft?.name=== ""visitSeven"" && (typecleft?.name===  ""cleftPalate"" || typecleft?.name===  ""cleftLipPalate""))";;;;10: I feel upset when I am not understood.;
visits_cleft;;;scoreCLEFTQSPEAK;int;;false;;;;;;;;"(typevisitcleft?.name===""visitFive"" &&(typecleft?.name===  ""cleftPalate"" || typecleft?.name===  ""cleftLipPalate"")) || (typevisitcleft?.name=== ""visitSeven"" && (typecleft?.name===  ""cleftPalate"" || typecleft?.name===  ""cleftLipPalate""))";parseInt(((typeof cLEFTQSPEAK_Q01=== 'undefined')?0:cLEFTQSPEAK_Q01?.name) || 0 )+parseInt(((typeof cLEFTQSPEAK_Q02=== 'undefined')?0:cLEFTQSPEAK_Q02?.name) || 0 )+parseInt(((typeof cLEFTQSPEAK_Q03=== 'undefined')?0:cLEFTQSPEAK_Q03?.name) || 0 )+parseInt(((typeof cLEFTQSPEAK_Q04=== 'undefined')?0:cLEFTQSPEAK_Q04?.name) || 0 )+parseInt(((typeof cLEFTQSPEAK_Q05=== 'undefined')?0:cLEFTQSPEAK_Q05?.name) || 0 )+parseInt(((typeof cLEFTQSPEAK_Q06=== 'undefined')?0:cLEFTQSPEAK_Q06?.name) || 0 )+parseInt(((typeof cLEFTQSPEAK_Q07=== 'undefined')?0:cLEFTQSPEAK_Q07?.name) || 0 )+parseInt(((typeof cLEFTQSPEAK_Q08=== 'undefined')?0:cLEFTQSPEAK_Q08?.name) || 0 )+parseInt(((typeof cLEFTQSPEAK_Q09=== 'undefined')?0:cLEFTQSPEAK_Q09?.name) || 0 )+parseInt(((typeof cLEFTQSPEAK_Q10=== 'undefined')?0:cLEFTQSPEAK_Q10?.name) || 0 );;;Score of CLEFT-Q Speech Distress;
visits_cleft;;;CLEFTQSPEECHFUNCTION;heading;;false;;;;;;;;"(typevisitcleft?.name===""visitFive"" &&(typecleft?.name===  ""cleftPalate"" || typecleft?.name===  ""cleftLipPalate"")) || (typevisitcleft?.name=== ""visitSeven"" && (typecleft?.name===  ""cleftPalate"" || typecleft?.name===  ""cleftLipPalate""))";;;;CLEFT-Q Speech Function;
